Tabela_ID;Titulo_Tabela;Categoria;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";35 a 39 anos;2.7;4.4;3.9;6.4;8.7;10.4
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";40 a 44 anos;2.6;5.2;3.8;5.6;7.6;9.4
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";45 a 49 anos;2.6;5.9;4.3;4.8;7.3;10.1
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";50 a 54 anos;2.4;6.2;3.7;4.6;5.8;9.8
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";55 a 59 anos;2.3;5.8;3.8;4;6;7.7
1.3.2.2;"Tabela 1.3.2.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal; por Grandes Regiões; segundo o sexo e os grupos de idade - 2015";60 anos ou mais;1;3.4;1.8;1.5;2.3;3.3
;;;;;;;;
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Total;0;0;0;0;0;0
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Possuíam;0.2;0.9;0.7;0.3;0.5;0.5
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Não possuíam;0.8;2;1.5;1.4;2.3;3.1
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Homens;0;0;0;0;0;0
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Possuíam;0.3;1;0.7;0.3;0.5;0.5
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Não possuíam;0.9;2;1.5;1.7;2.5;3.4
1.3.3.2;"Tabela 1.3.3.2a - Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade; por Grandes Regiões; segundo a situação do domicílio; o sexo e a posse de telefone móvel celular para uso pessoal - 2015";Mulheres;0;0;0;0;0;0
